state,year,ev_registrations,total_vehicles,ev_share_percent,stations,total_charging_outlets,level_1,level_2,dc_fast,fuel_economy,incentives,population_20_64,education_bachelor,labour_force_participation_rate,unemployment_rate,bachelor_attainment,per_cap_income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,party
Delaware,2019,1300,894900,0.15,57,172,2,117,53,32.96,23,555038,171810,79.4,4.2,30.95,36858,61.37,63.66,36.22,42.52,58.92,43.47,65.7,73.43,61.12,10.52,2.481,Democratic
Delaware,2020,1900,914000,0.21,70,206,2,131,73,30.63,23,561113,178465,78.3,4.85,31.795,37827.5,64.73,65.42,35.32,43.49,56.12,42.66,65.26,74.97,63.65,10.24,2.516,Democratic
Delaware,2021,3000,909600,0.33,134,314,5,218,91,28.52,26,567188,185120,77.1,5.5,32.64,38797,66.67,69.2,34.1,49.64,61.26,48.62,64.14,72.62,64.42,10.5,2.692,Democratic
Delaware,2022,5400,913600,0.59,156,367,5,257,105,28.47,29,571842,190688,81,4.2,33.35,42571,62.03,67.94,34.09,46.09,58.22,46.24,63.72,73.44,61.73,11.83,2.867,Democratic
Delaware,2023,8400,914700,0.92,197,523,5,321,197,26.3,31,572873,191352,80.8,3.3,33.4,44350,62.94,68.12,35.47,46.12,58.49,47.1,65.97,73.81,62.85,12.85,2.964,Democratic
District Of Columbia,2018,1100,334400,0.33,124,337,43,290,4,54,0,467528,263428,82.7,7.3,56.34,55328,74.54,75.04,44.19,53,67.48,54.43,72.97,79.79,72.63,12.03,2.597,
District Of Columbia,2020,2400,318300,0.75,189,694,50,611,33,30.63,0,453181,260276,82.3,6.85,57.485,62808,78.64,78.36,45,53.65,65.3,49.52,73.82,78.66,74.27,11.9,2.694,
District Of Columbia,2021,3700,321700,1.15,291,826,43,742,41,28.52,0,438542,258968,82.1,7.7,59.05,65808,79.67,80.9,45.49,60.78,70.29,58.87,73.21,79.77,76.01,12.81,2.883,
District Of Columbia,2022,5900,319400,1.85,301,972,43,891,38,28.47,0,439920,271030,84.3,4.7,61.61,71699,76.78,79.68,45.48,58.87,68.04,57.38,74.49,81.7,74.82,14.94,3.07,
District Of Columbia,2023,8100,312100,2.6,369,1158,26,1081,51,26.3,0,444851,274268,85.6,5.1,61.65,78479,77.86,79.87,46.77,59.52,68.66,58.57,76.55,82.28,76.05,16.5,3.174,
Florida,2018,27400,16774700,0.16,1265,3027,215,2373,439,54,64,12198931,3380275,76.2,4.7,27.71,31359,60.14,61.5,36.85,44.97,61.32,45.87,67.34,78.07,64.18,10.32,2.55,Republican
Florida,2019,40300,17071200,0.24,1562,4562,305,3622,635,32.96,64,12252687,3439620,77.1,4.2,28.07,32887,58.42,61.42,35.61,41.37,58.69,43.44,65.32,74.14,61.94,10.44,2.609,Republican
Florida,2020,58200,17341700,0.34,1836,5564,294,4394,876,30.63,66,12330117,3607927,77,4.8,29.25,34541.5,63.63,64.83,34.5,44.4,57.73,43.58,67.47,74.25,64.25,10.06,2.645,Republican
Florida,2021,95600,17729600,0.54,2636,6748,372,5229,1147,28.52,68,12407546,3776233,76.9,5.4,30.43,36196,63.55,67.8,33.85,46.83,62.08,48.11,64.85,72.53,64.79,10.67,2.83,Republican
Florida,2022,168000,18128300,0.93,2923,7818,364,5827,1627,28.47,69,12650482,3977273,77.7,3.7,31.44,40278,60.48,66.54,33.43,44.79,58.39,46.72,65.11,73.92,62.73,12.51,3.014,Republican
Florida,2023,254900,18583200,1.37,3430,9763,364,7235,2164,26.3,69,12789695,4148663,78.5,3.8,32.44,41902,61.4,65.94,34.49,44.86,58.67,47.25,66.88,74.41,63.49,13.53,3.117,Republican
Georgia,2018,15900,8830100,0.18,772,2188,155,1762,271,54,25,6241122,1836344,76.6,4.4,29.42,31187,59.7,55.71,34.9,43.81,60.53,44.31,67.29,77.23,63.63,9.62,2.379,Republican
Georgia,2019,19000,8933600,0.21,882,2939,196,2395,348,32.96,25,6271430,1893485,76.8,4.4,30.19,32657,56.38,55.46,35.11,39.65,59.51,41.48,65.66,72.69,59.81,9.86,2.434,Republican
Georgia,2020,23500,9097800,0.26,1008,3661,239,2930,492,30.63,26,6322912,1961690,76.7,4.85,31.015,33871.5,62.33,58.45,32.68,43.45,57.07,43.3,66.01,72.55,62.55,9.93,2.468,Democratic
Georgia,2021,34000,9399700,0.36,1585,3947,230,3131,586,28.52,29,6374393,2029894,76.6,5.3,31.84,35086,63.11,62.21,32.18,47.08,59.71,47.98,65.14,71.04,63.9,10.43,2.641,Democratic
Georgia,2022,60100,9542400,0.63,1552,4131,230,3106,795,28.47,30,6460268,2065021,78.1,3.9,31.96,38378,59.35,61.96,32.05,43.93,56.51,45.61,64.42,72.21,60.87,12,2.812,Democratic
Georgia,2023,92400,9642400,0.96,1886,4994,230,3675,1089,26.3,32,6493223,2138391,78.3,4.2,32.93,39685,60.57,61.26,32.95,43.74,57.37,46.27,66.48,72.64,61.86,11.06,2.908,Democratic
Hawaii,2018,6600,1080700,0.61,278,536,9,445,81,54,26,824717,251343,81.2,3.7,30.48,35255,68.61,73.19,47.35,52.87,62.22,53.36,74.09,78.87,72.07,29.18,3.648,Democratic
